CO_CNES;NO_FANTASIA;NO_BAIRRO;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE
7666497;CONSULTORIO DE FISIOTERAPIA HELIZENE MELO MOURA;TAMBAUZINHO;22;2507507;-7.121908469841426;-34.848010540008545
7660359;EXTENSAO DA UNIDADE SAUDE DA FAMILIA PSF I;ZONA URBANA;2;2508554;-6.614;-35.443
7654553;CAPS AD III REGIONAL VALE DO MAMANGUAPE;CAMPO;70;2508901;-6.8412849;-35.13070349999998
7666772;HOSPITAL GERAL DE MAMANGUAPE;AREAL;5;2508901;-6.839041796407209;-35.138611793518066
7659997;LABORATORIO DE PROTESE DENTARIA DE PIRPIRITUBA;CENTRO;39;2511806;-6.784441308631384;-35.49331768556557
7661592;CENTRO DE ESPECIALIDADES ODONTOLOGICA ELAIR DINIZ BRASILEIRO;CENTRO;36;2513307;-6.720391;-38.639828
7667353;EMULT ESTRATEGICA NA ATENCAO PRIMARIA;CENTRO;71;2513851;-7.218;-36.633
7664680;UNIDADE DE SAUDE DA FAMILIA RICARDO CAVALCANTI PSF VIII;ZONA RURAL;2;2514503;-7.043719834496106;-38.39123010635376
7664699;UNIDADE DE SAUDE DA FAMILIA CHAGAS MIGUEL PSF IX;ZUZA HOLANDA;2;2514503;-7.1219541;-38.4939633
0988227;CRISTIANNE ROSA NEVES COSTA DE SOUSA LOBORATORIO DE ANALISES;CENTRO;80;2509206;-7.1807268;-35.7359357
0988588;CLINICA CIRURGICA DERMATOLOGICA DRA ELOISA CAMARA;PRATA;22;2504009;-7.2198779;-35.8970954
2976412;PED SAUDE;MANAIRA;36;2507507;-7.1123017;-34.8285756
2985950;ANALISIS BESSA;BESSA;39;2507507;-7.0680057;-34.8440116
2981602;ANCORA DE SAUDE OTACILIO AIRES DE QUEIROZ;ZONA RURAL;1;2510659;-7.320988727149649;-36.65594816207886
2946351;POSTO MANAIRA MANAIRA;MANAIRA;39;2507507;-7.1748935;-34.8606719
2906651;CLINICA MEDICA DE ESPECIALIDADES DR DO BEM;CENTRO;36;2506004;-7.017075451972578;-35.85958957672119
2901811;ENVIDA CENTRO DE ESPECIALIDADES MEDICAS;JARDIM OCEANIA;36;2507507;-7.0845877;-34.8368579
2899582;FACEUP SURGERY TEAM;CATOLE;22;2504009;-7.2337651;-35.8730966
6425623;CENTRAL DE MARCACAO DE CONSULTAS E EXAMES;CENTRO;81;2501005;-6.558032680908124;-35.74198007583618
9206043;VITTA FISIO;PONTA DE MATO;36;2503209;-6.969764348144638;-34.834901312391764
0220388;FARMACIA BASICA ALFEU QUEIROZ;CENTRO;43;2516508;-7.207239305684517;-36.82698726654053
0253375;REABILIT SAUDE;TORRE;77;2507507;-7.172751221404976;-35.59081077575684
9838031;DESPERTAR SERVICOS E CONSULTORIA;JARDIM CIDADE UNIVER;68;2507507;-7.1554484;-34.8386015
6738079;CONSULTORIO ODONTOLOGICO ANA PAULA VILAR PRUDENTE;BAIRRO DOS ESTADOS;22;2507507;-6.828836596237084;-35.7599401473999
0212431;IORT INSTITUTO DE ORTOPEDIA;MIRAMAR;36;2507507;-7.11479684741546;-34.86305505037308
0217905;CENTRO DE ATENDIMENTO COVID 19;CENTRO;2;2514206;-6.947471834481026;-38.16545248031616
9740872;PP PROTESE DENTARIA MENESES QUIRINO;CENTRO;39;2506707;-7.389669;-37.507844
9754431;ESF IX FRANCISCO DE ASSIS GONDIM DISTRITO DE MUQUEM;ZONA RURAL;2;2501104;-6.93748;-35.75597
9896104;DUARTE DUARTE SERVICOS MEDICOS E HOSPITALARES;SANTA ROSA;36;2516300;-7.670349574069089;-36.87444090843201
9827072;INTERKIDS;LAURITZEN;36;2504009;-7.212668;-35.883039
9895787;LABORATORIO MUNICIPAL DE ANALISES CLINICAS;CENTRO;80;2509370;-6.5428545552601305;-37.71675109863281
2399067;COMPLEXO PSIQUIATRICO JULIANO MOREIRA;TORRE;7;2507507;-7.1376445;-34.8540986
9828516;POLO ACADEMIA DA SAUDE MANOEL MARIANO NETO;CENTRO;74;2509156;-6.84172200190534;-38.34526100000005
9971637;CLIMED ESPECIALIDADES MEDICAS;CENTRO;4;2507903;-7.3743307;-35.2396
9865756;AEBP;MUCUMAGRO;77;2507507;-7.2143554;-34.8354581
3321460;CLINICA CRIANCA E SAUDE;MANAIRA;22;2507507;-7.1049784;-34.8351168
9964118;DM SERVICOS DE ODONTOLOGIA;MIRAMAR;36;2507507;-7.115031064280471;-34.86303091049194
9651500;UNIDADE DE VIGILANCIA DE ZOONOSES;ANGELIM;50;2516201;-6.7682513;-37.7911356
9662227;POLICLINICA ALCIDES CAETANO DE FREITAS;CENTRO;4;2502300;-6.445;-37.929
9638768;CHECK UP OFTALMOLOGIA;INTERMARES;22;2503209;-7.0438879;-34.8446865
9682775;ALL SMILES INSTITUTO ODONTOLOGICO;TORRE;22;2507507;-7.121221798532623;-34.85769599676132
9804072;CENTRO DE FISIOTERAPIA DAMIAO MAXIMINO RODRIGUES;CENTRO;36;2513851;-7.218;-36.633
9790926;CONSULTORIO ODONTOLOGICO DRA AUDREY WALESKA ALVARENGA CAETAN;CENTRO;22;2507507;-7.1187399;-34.8779963
7999194;ODONTO ADVANCED;TORRE;36;2507507;-7.1199736;-34.8579643
7992661;CLINICA CRESCER;CENTRO;4;2503704;-6.886272623676388;-38.55917930603027
9012877;ACADEMIA DA SAUDE JUSCELINO MARQUES DE LIMA;CHIQUINHO ALMEIDA;74;2516607;-7.631245515451361;-37.874722480773926
9234381;PAULO EDUARDO ROBERTO DE ASSIS;PRATA;22;2504009;-7.2200666;-35.898301
9245332;CAPS SERRA BRANCA;CENTRO;70;2515500;-7.480300492084156;-36.662258405153125
9221891;LABORCENTER;ESTREITO;39;2516201;-6.765619172030723;-38.2268214225769
9241116;ACADEMIA DA SAUDE DE LAGOA DE DENTRO;CENTRO;74;2508208;-6.6707979;-35.3791242
9222677;ESPACO VIDA SERVICOS MEDICOS E DIAGNOSTICOS LTDA;BANCARIOS;36;2516201;-6.765640480279276;-38.22789430618286
9828834;DIMERLLY;JD PAULISTANO;36;2504009;-7.243123;-35.892868
